Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,148.399994,148.399994,147.509995,148.270004,136.888123,2457000
2019-04-22,147.949997,150.160004,147.770004,150.160004,138.633026,11030500
2019-04-29,150.220001,150.869995,148.059998,150.630005,139.066940,13132200
2019-05-06,148.190002,150.339996,144.649994,147.529999,136.204910,15456500
2019-05-13,144.699997,148.029999,143.250000,146.240005,135.013962,13647800
2019-05-20,145.259995,146.809998,143.380005,144.580002,133.481339,8730800
2019-05-27,144.820007,145.279999,140.600006,140.690002,129.890015,12279200
2019-06-03,140.690002,147.449997,139.619995,146.789993,135.521698,17055900
2019-06-10,147.729996,148.830002,146.929993,147.630005,136.297241,8841800
2019-06-17,147.279999,150.940002,147.139999,150.699997,139.131561,14199500
2019-06-24,150.330002,150.470001,148.130005,150.089996,139.083725,11172300
2019-07-01,151.850006,152.660004,150.509995,152.550003,141.363358,11399300
2019-07-08,151.869995,153.639999,151.020004,153.610001,142.345596,11938800
2019-07-15,153.830002,153.830002,151.589996,151.800003,140.668365,9460400
2019-07-22,152.059998,154.509995,151.759995,154.410004,143.086945,9090300
2019-07-29,154.350006,154.380005,148.580002,149.580002,138.611130,17033600
2019-08-05,147.179993,150.020004,143.869995,148.919998,137.999512,18798600
2019-08-12,148.119995,150.080002,144.050003,147.339996,136.535400,16521600
2019-08-19,149.089996,149.899994,144.639999,145.309998,134.654236,11592700
2019-08-26,146.529999,149.889999,145.309998,149.039993,138.110733,12432600
2019-09-02,147.990005,152.110001,147.369995,151.679993,140.557144,10940000
2019-09-09,152.220001,154.130005,150.630005,153.470001,142.215866,16347800
2019-09-16,152.220001,153.610001,151.350006,152.039993,140.890747,9679500
2019-09-23,151.710007,152.809998,149.440002,150.300003,139.916504,16093700
2019-09-30,150.649994,151.880005,144.899994,149.729996,139.385849,15226100
2019-10-07,149.380005,151.899994,146.710007,150.630005,140.223709,14631900
2019-10-14,150.520004,152.639999,150.250000,151.580002,141.108063,8305500
2019-10-21,152.350006,153.759995,151.770004,153.449997,142.848877,9269700
2019-10-28,154.119995,155.830002,153.419998,155.830002,145.064484,11098800
2019-11-04,156.699997,157.339996,155.630005,157.160004,146.302582,11355800
2019-11-11,156.399994,158.550003,156.250000,158.550003,147.596558,10370500
2019-11-18,158.419998,159.149994,157.250000,158.139999,147.214890,12796100
2019-11-25,158.759995,160.740005,158.600006,160.020004,148.964966,7924400
2019-12-02,160.259995,160.539993,156.380005,160.289993,149.216339,13818200
2019-12-09,160.089996,162.089996,159.289993,161.330002,150.184494,11902100
2019-12-16,162.360001,164.339996,162.220001,164.190002,152.846924,15188800
2019-12-23,164.559998,164.679993,163.250000,164.080002,152.744537,10319500
2019-12-30,164.300003,164.979996,162.720001,163.929993,153.432312,14682400
2020-01-06,162.919998,166.300003,162.830002,165.460007,154.864349,19796900
2020-01-13,166.000000,169.009995,165.520004,168.759995,157.953018,14015900
